Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL1324,TOLCAPONE,4,273.24,0,2.55,3,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,IC50,'=',640,nM,6.19,,,UO_0000065,22.67,0.42,3.64,6.15,1,CHEMBL5098511,Inhibition of Dengue Virus 3 recombinant NS2B-NS3 protease expressed in Escherichia coli using Bz-Nle-Arg-Arg-AMC as substrate incubated for 30 mins,B,BAO_0000019,assay format,dengue virus type 3,None,None,None,None,,,,CHEMBL5980,Dengue virus type 2 NS3 protein,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),SINGLE PROTEIN,CHEMBL5096200,1,Scientific Literature,Bioorg Med Chem,2021,None,TIME = 0.5 hr,INHIBITOR,,0.64
CHEMBL4440832,,None,444.47,1,5.61,39,O=C(Nc1nc2cc(O)c(O)cc2s1)c1ccccc1Oc1ccc2cc(O)ccc2c1,IC50,'=',4200,nM,5.38,,,UO_0000065,12.1,0.23,-0.23,4.8,1,CHEMBL5098502,Inhibition of DENV2 NS2B-NS3 protease using Boc-Gly-Arg-Arg-7-amino-4-methylcoumarin as substrate incubated for 10 mins by fluorometric assay,B,BAO_0000357,single protein format,dengue virus type 2,None,None,None,None,,,,CHEMBL5980,Dengue virus type 2 NS3 protein,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),SINGLE PROTEIN,CHEMBL5096200,1,Scientific Literature,Bioorg Med Chem,2021,None,TIME = 0.1667 hr,INHIBITOR,,4.2
CHEMBL4441561,,None,405.87,1,5.71,41,N#C/C(=C\c1ccc(-c2ccc(C(=O)O)cc2)s1)c1nc2cc(Cl)ccc2[nH]1,IC50,'=',5950,nM,5.22,,,UO_0000065,12.87,0.25,-0.48,5.82,0,CHEMBL4431549,Inhibition of recombinant Dengue virus 2 S-16803 NS2B-NS3 protease using Bz-nKRRAMC as substrate preincubated with enzyme followed by substrate addition measured after 20 mins by fluorescence assay,B,BAO_0000357,single protein format,dengue virus type 2,None,None,None,None,,,,CHEMBL5980,Dengue virus type 2 NS3 protein,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),SINGLE PROTEIN,CHEMBL4431301,1,Scientific Literature,J Med Chem,2016,None,,,,5.95
CHEMBL5092408,,None,325.41,0,2.21,4,CN1C[C@H]2C[C@@H](C1)c1ccc(NCc3ccc(O)cc3)c(=O)n1C2,IC50,'=',780,nM,6.11,,,UO_0000065,,,,,0,CHEMBL5032287,Antiviral activity against DENV2 infected in human A549 cells assessed as inhibition of virus induced cytopathic effect measured after 96 hrs by immunofluorescent staining based inverted microscopic analysis,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,A549,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL5030562,1,Scientific Literature,Bioorg Med Chem Lett,2021,None,TIME = 96.0 hr,,,0.78
CHEMBL4160320,,None,425.46,1,5.91,12c,COc1ccc(-c2cc(-c3ccc4cc(F)ccc4n3)n(-c3ccc(OC)cc3)n2)cc1,IC50,'=',1090,nM,5.96,,,UO_0000065,,,,,0,CHEMBL4135352,Antiviral activity against Fluc-tagged DENV2 strain 16681 infected in human HuH7 cells after 3 days by luciferase reporter gene assay,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,None,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4130503,1,Scientific Literature,Eur J Med Chem,2017,None,,,,1.09
CHEMBL5079251,,None,348.4,0,0.58,8,CCOC(=O)CNC(=O)Nc1ccc2n(c1=O)C[C@@H]1C[C@H]2CN(C)C1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL5032284,Antiviral activity against DENV2 infected in African green monkey Vero E6 cells assessed as inhibition of virus induced cytopathic effect measured after 96 hrs by immunofluorescent staining based inverted microscopic analysis,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,Vero E6,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL5030562,1,Scientific Literature,Bioorg Med Chem Lett,2021,None,TIME = 96.0 hr,,,
CHEMBL5077292,,None,476.54,0,1.51,20,Cn1cc(CNc2ccc3n(c2=O)C[C@@H]2C[C@H]3CN(C(=O)Nc3ccccc3)C2)c(=O)n(C)c1=O,IC50,'=',6446,nM,5.19,,,UO_0000065,,,,,0,CHEMBL5032294,Antiviral activity against Dengue virus 2 infected in African green monkey Vero E6 cells assessed as inhibition of viral replication at attachment stage measured after 96 hrs by DAPI staining based fluorescence microscopic analysis,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,Vero E6,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL5030562,1,Scientific Literature,Bioorg Med Chem Lett,2021,None,TIME = 96.0 hr,,,6.446
CHEMBL4544911,,None,469.4,1,7.45,8,C/C(=N\Nc1ccccc1)c1sc(-c2cc(Cl)nc(Oc3ccc(Cl)cc3)c2)nc1C,IC50,'=',1200,nM,5.92,,,UO_0000065,,,,,0,CHEMBL4431637,Antiviral activity against Dengue virus 2 NGC preincubated for 30 mins with virus followed by cell infection for 2 hrs measured after 5 days by immunostaining based plaque reduction assay,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,None,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4431301,1,Scientific Literature,J Med Chem,2016,None,,,,1.2
CHEMBL5278964,,None,302.37,0,2.14,12,CC(=O)O.NC[C@H](O)CN(c1ccccc1)c1ccccc1,IC50,'=',12600,nM,4.9,,,UO_0000065,,,,,0,CHEMBL5230924,Antiviral activity against DENV2 New Guinea C strain infected in human Huh-7 cells measured after 72 hrs by immunodetection assay,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,Huh-7,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL5230101,1,Scientific Literature,J Med Chem,2020,None,TIME = 72.0 hr,,,12.6
CHEMBL5271498,,None,302.37,0,2.14,13,CC(=O)O.NC[C@@H](O)CN(c1ccccc1)c1ccccc1,IC50,'=',6300,nM,5.2,,,UO_0000065,,,,,0,CHEMBL5230924,Antiviral activity against DENV2 New Guinea C strain infected in human Huh-7 cells measured after 72 hrs by immunodetection assay,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,Huh-7,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL5230101,1,Scientific Literature,J Med Chem,2020,None,TIME = 72.0 hr,,,6.3
